web-scraper-order,web-scraper-start-url,Url,Url-href,Nama,Usaha Utama,Produk Utama,Alamat,Nama Badan Hukum,Jumlah Tenaga Kerja,Sistem Penjualan,Target Pasar Utama (Produk Masal),Target Pasar Utama (Produk Spesifik),Tingkat Pesaing Usaha,Total Aset,Penjualan Rata-Rata per Tahun,Proyeksi Pertumbuhan Penjualan (/tahun),Kebutuhan Pembiayaan Kredit,Nilai Aset yang dapat menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit
"1622316764-4865","https://www.bi.go.id/bisaid","Pempek Anwar","https://www.bi.go.id/bisaid/bisaid/Detail?pm=m5Xx7bF5P+UjOZUamtEOMw==&mp=JHuIBacQ7Iz+a8xx8lclUA==","Pempek Anwar","Usaha Utama  : Usaha Pempek","Produk Utama : Pempek","JL.Yos Sudarso No.77 RT/RW  17/08 

                                        Kelurahan - Kecamatan - Kabupaten KOTA PALEMBANG Provinsi SUMATERA SELATAN 

                                        Telp : 0 Fax : -","Usaha Dagang (UD)","2","Retail dan Distributor","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Tinggi","Rp. 33,50 Juta","Rp. 37,00 Juta","20 %/Tahun","Rp. 5,00 Juta","Rp. 511,00 Juta","4"
"1622314412-4119","https://www.bi.go.id/bisaid","Batu Bata Wagiman","https://www.bi.go.id/bisaid/bisaid/Detail?pm=ib5U2zwIAqIgxmPUsqeVnQ==&mp=5JdvraNzQnzSzI+hC9alEQ==","Batu Bata Wagiman","Usaha Utama  : Batu Bata","Produk Utama : Batu Bata","Umar Ahmad RT/RW  02/ 

                                        Kelurahan SUNGAI MENGKUANG Kecamatan RIMBO TENGAH Kabupaten KABUPATEN BUNGO Provinsi JAMBI 

                                        Telp : - Fax : -","Perorangan","5","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 29,00 Juta","Rp. 368,00 Juta","- %/Tahun","Rp. 9,00 Juta","Rp. 18,00 Juta","4"
"1622317625-5131","https://www.bi.go.id/bisaid","Caping","https://www.bi.go.id/bisaid/bisaid/Detail?pm=nHjoUVXpE5kxQ2QnDSvvFQ==&mp=2BbfzMJpZb2nANZ3GT30ng==","Caping","Usaha Utama  : Caping","Produk Utama : Caping","Jl Grujugan  RT/RW  40635 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN KEBUMEN Provinsi JAWA TENGAH 

                                        Telp : - Fax : -","Perorangan","4","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   50,00 %","Sedang","Rp. 66,00 Juta","Rp. 80,00 Juta","40 %/Tahun","Rp. 8,00 Juta","Rp. 30,00 Juta","3"
"1622315766-4548","https://www.bi.go.id/bisaid","Kurnia Jaya","https://www.bi.go.id/bisaid/bisaid/Detail?pm=/74jsDufMSeSRy1E1SpAbQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Kurnia Jaya","Usaha Utama  : Pembuatan Meubel","Produk Utama : Meubel","Arifin Ahmad RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KOTA PEKANBARU Provinsi RIAU 

                                        Telp : - Fax : -","Perorangan","10","Retail dan Distributor","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 307,50 Juta","Rp. 350,00 Juta","20 %/Tahun","Rp. 0,00 Juta","Rp. 265,00 Juta","6"
"1622314804-4251","https://www.bi.go.id/bisaid","Ranginang Ketan Ibu Awat","https://www.bi.go.id/bisaid/bisaid/Detail?pm=xthQIqAM0862JlCDKNUsLQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Ranginang Ketan Ibu Awat","Usaha Utama  : Pembuatan Ranginang","Produk Utama : Ranginang","Kp. Pamekilan RT/RW  40586 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN BANDUNG Provinsi JAWA BARAT 

                                        Telp : - Fax : -","Perorangan","6","Distributor","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 73,89 Juta","Rp. 48,00 Juta","91 %/Tahun","Rp. 10,00 Juta","Rp. 150,00 Juta","5"
"1622316015-4626","https://www.bi.go.id/bisaid","Sengkuyung","https://www.bi.go.id/bisaid/bisaid/Detail?pm=XGbPLxDndCWqHMQcZF9PCw==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Sengkuyung","Usaha Utama  : Pembuatan Kayu Bangunan","Produk Utama : Kayu Bangunan","Godeyan RT/RW  40666 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN SEMARANG Provinsi JAWA TENGAH 

                                        Telp : - Fax : -","Perorangan","11","Distributor","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   80,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   20,00 %","Tinggi","Rp. 393,50 Juta","Rp. 15,00 Juta","10 %/Tahun","Rp. 0,00 Juta","Rp. 306,00 Juta","9"
"1622315697-4526","https://www.bi.go.id/bisaid","Anggi Fried Chicken","https://www.bi.go.id/bisaid/bisaid/Detail?pm=Eqgq5k8KKNTg0YutnEAiSg==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Anggi Fried Chicken","Usaha Utama  : Pembuatan Ayam Goreng","Produk Utama : Ayam Goreng","A. Yani Km 6,9 RT/RW  04/- 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN BANJAR Provinsi KALIMANTAN SELATAN 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 111,50 Juta","Rp. 12,00 Juta","10 %/Tahun","Rp. 10,00 Juta","Rp. 342,00 Juta","6"
"1622317033-4949","https://www.bi.go.id/bisaid","Wajik Nanas Asli Up2K Kenangan","https://www.bi.go.id/bisaid/bisaid/Detail?pm=lqZI3LXNtjBqViy+6fpsOg==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Wajik Nanas Asli Up2K Kenangan","Usaha Utama  : Pembuatan Wajik","Produk Utama : Wajik Nanas","Sakura No 10 RT/RW  40605 

                                        Kelurahan - Kecamatan - Kabupaten KOTA PRABUMULIH Provinsi SUMATERA SELATAN 

                                        Telp : - Fax : -","Perorangan","5","Retail dan Distributor","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 10,77 Juta","Rp. 8,50 Juta","10 %/Tahun","Rp. 5,00 Juta","Rp. 150,00 Juta","6"
"1622315249-4389","https://www.bi.go.id/bisaid","Kerupuk Sariah","https://www.bi.go.id/bisaid/bisaid/Detail?pm=1SbbYb8OEPKjt2EjlCzBMA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","Kerupuk Sariah","Usaha Utama  : Kerupuk","Produk Utama : -","Lembah Merpati RT/RW  2/11/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA TANJUNG PINANG Provinsi KEPULAUAN RIAU 

                                        Telp : - Fax : -","Perorangan","2","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   80,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   20,00 %","Tinggi","Rp. 0,00 Juta","Rp. 0,00 Juta","0 %/Tahun","Rp. 10,00 Juta","Rp. 125,00 Juta","4"
"1622316134-4664","https://www.bi.go.id/bisaid","Industri Tempe Tasmani","https://www.bi.go.id/bisaid/bisaid/Detail?pm=vZc1Uq3zoEKUkyT3Zz6fuA==&mp=Bjv3m4lcInn46OWc4jy6kQ==","Industri Tempe Tasmani","Usaha Utama  : Pengolahan Tempe","Produk Utama : Tempe","Cipinang Pulo Maja RT/RW  2/11/2020 

                                        Kelurahan - Kecamatan - Kabupaten KOTA JAKARTA TIMUR Provinsi DKI JAKARTA 

                                        Telp : - Fax : -","Perorangan","3","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 152,00 Juta","Rp. 133,92 Juta","20 %/Tahun","Rp. 10,00 Juta","Rp. 135,00 Juta","5"
"1622316982-4933","https://www.bi.go.id/bisaid","Telur Asin Bu Hartati","https://www.bi.go.id/bisaid/bisaid/Detail?pm=2o6W7XGy0scPXwabOaDNvg==&mp=fOhzApotY5QnAtxxXvjAfA==","Telur Asin Bu Hartati","Usaha Utama  : Industri Telor Asin","Produk Utama : Telur Asin","Rambutan RT/RW  2/1/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN CILACAP Provinsi JAWA TENGAH 

                                        Telp : 85641433873 Fax : -","Perorangan","5","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   30,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   70,00 %","Rendah","Rp. 15,00 Juta","Rp. 49,00 Juta","10 %/Tahun","Rp. 3,00 Juta","Rp. 12,00 Juta","5"
"1622314563-4167","https://www.bi.go.id/bisaid","Araneh Snack","https://www.bi.go.id/bisaid/bisaid/Detail?pm=+tSpg/81Ov2ePTfOtQhvFw==&mp=Q47xnX4Fmgxfelhgew2rrQ==","Araneh Snack","Usaha Utama  : Olahan Makanan","Produk Utama : Kripik Singkong Saus Buah","Gading Tutuka 1 Blok E 3 No. 8 RT/RW  1/12/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN BANDUNG Provinsi JAWA BARAT 

                                        Telp : - Fax : -","Perorangan","4","Retail dan Distributor","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 510,40 Juta","Rp. 37,50 Juta","- %/Tahun","Rp. 10,00 Juta","Rp. 505,00 Juta","1"
"1622317480-5084","https://www.bi.go.id/bisaid","UD Vino Jaya","https://www.bi.go.id/bisaid/bisaid/Detail?pm=nebSdZDJOzLI/9BWUDiBlA==&mp=JHuIBacQ7Iz+a8xx8lclUA==","UD Vino Jaya","Usaha Utama  : Kusen ,pintu","Produk Utama : Kusen,pintu,cendela","Merpati Raya No 7 RT/RW  40575 

                                        Kelurahan - Kecamatan - Kabupaten KOTA TANGERANG Provinsi BANTEN 

                                        Telp : 818675809 Fax : -","Perorangan","1","Retail","Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Sedang","Rp. 57,00 Juta","Rp. 264,00 Juta","25 %/Tahun","Rp. 10,00 Juta","Rp. 37,00 Juta","4"
"1622317267-5020","https://www.bi.go.id/bisaid","Usaha Tenun Sutera Dg.Basse","https://www.bi.go.id/bisaid/bisaid/Detail?pm=GniYlUCtmpqs081wJlTSuw==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Usaha Tenun Sutera Dg.Basse","Usaha Utama  : Pembuatan Kain Sutera","Produk Utama : Kain Sarung","Pa'Lambarang RT/RW  40544 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN GOWA Provinsi SULAWESI SELATAN 

                                        Telp : - Fax : -","Perorangan","3","Retail","Tidak Ada   0,00 %","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   100,00 %","Sedang","Rp. 268,80 Juta","Rp. 43,20 Juta","10 %/Tahun","Rp. 10,00 Juta","Rp. 70,00 Juta","5"
"1622317597-5122","https://www.bi.go.id/bisaid","Jumiati","https://www.bi.go.id/bisaid/bisaid/Detail?pm=iXKzUOu90UBTj3ppdrqZhg==&mp=fOhzApotY5QnAtxxXvjAfA==","Jumiati","Usaha Utama  : Tenun","Produk Utama : Sarung Saamarinda","P Bendahara RT/RW  02/ 

                                        Kelurahan - Kecamatan - Kabupaten KOTA SAMARINDA Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   70,00 %","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   30,00 %","Rendah","Rp. 100.800.000,00 Juta","Rp. 85.000.000,00 Juta","10 %/Tahun","Rp. 10,00 Juta","Rp. 90,00 Juta","3"
"1622314568-4169","https://www.bi.go.id/bisaid","Pabrik Tempe Watiyah","https://www.bi.go.id/bisaid/bisaid/Detail?pm=/RhCcHArair62hNOso/l9w==&mp=5JdvraNzQnzSzI+hC9alEQ==","Pabrik Tempe Watiyah","Usaha Utama  : Pengrajin Tempe","Produk Utama : Tempe","Sungai Mas RT/RW  8/4/2020 

                                        Kelurahan - Kecamatan BANGKO Kabupaten KABUPATEN MERANGIN Provinsi JAMBI 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 212,50 Juta","Rp. 160,00 Juta","- %/Tahun","Rp. 10,00 Juta","Rp. 200,00 Juta","5"
"1622314979-4308","https://www.bi.go.id/bisaid","UD. Meubel A.Rois Sumende","https://www.bi.go.id/bisaid/bisaid/Detail?pm=TaXy5V72VGn+uNXuHBU7iw==&mp=LhrIHvxx5uWPOvZTrS6CKw==","UD. Meubel A.Rois Sumende","Usaha Utama  : Pembuatan Furniture","Produk Utama : Lemari","Stasiun No.11 RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN SIDOARJO Provinsi JAWA TENGAH 

                                        Telp : - Fax : -","Perorangan","3","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 427,50 Juta","Rp. 435,00 Juta","10 %/Tahun","Rp. 0,00 Juta","Rp. 0,00 Juta","4"
"1622316574-4805","https://www.bi.go.id/bisaid","UD.Murni","https://www.bi.go.id/bisaid/bisaid/Detail?pm=ewqZbDLSvNXKheKd0qg/3Q==&mp=LhrIHvxx5uWPOvZTrS6CKw==","UD.Murni","Usaha Utama  : Pengolahan Kedelai","Produk Utama : Tempe","Veteran Gg Subur No.57 RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN DELI SERDANG Provinsi SUMATERA UTARA 

                                        Telp : - Fax : -","Usaha Dagang (UD)","4","Retail dan Distributor","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 172,40 Juta","Rp. 273,60 Juta","23 %/Tahun","Rp. 0,00 Juta","Rp. 0,00 Juta","5"
"1622315854-4575","https://www.bi.go.id/bisaid","Barokah","https://www.bi.go.id/bisaid/bisaid/Detail?pm=RmmabjW57Czs0AH4XFjP5g==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Barokah","Usaha Utama  : Pengolahan Tempe","Produk Utama : Tempe","Dusun Gondoriyo RT/RW  40546 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN SEMARANG Provinsi JAWA TENGAH 

                                        Telp : - Fax : -","Perorangan","6","Retail dan Distributor","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   85,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   15,00 %","Sedang","Rp. 1.051,00 Juta","Rp. 0,00 Juta","30 %/Tahun","Rp. 0,00 Juta","Rp. 913,00 Juta","5"
"1622315860-4577","https://www.bi.go.id/bisaid","BATAKO FOKUS","https://www.bi.go.id/bisaid/bisaid/Detail?pm=sLE/MoX9dIKl2PLbbztxbg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","BATAKO FOKUS","Usaha Utama  : PEMBUATAN BATAKO","Produk Utama : BATAKO / TELLA PRESS","GAMSUNGI  RT/RW  1/1/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN HALMAHERA UTARA Provinsi MALUKU UTARA 

                                        Telp : 9242621249 Fax : -","Perorangan","5","Retail dan Distributor","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   90,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   10,00 %","Sedang","Rp. 161,00 Juta","Rp. 360,00 Juta","30 %/Tahun","Rp. 0,00 Juta","Rp. 112,00 Juta","7"
"1622315787-4555","https://www.bi.go.id/bisaid","Sabilal","https://www.bi.go.id/bisaid/bisaid/Detail?pm=Ihu59b43tr4sD8NfdbSOLg==&mp=Bjv3m4lcInn46OWc4jy6kQ==","Sabilal","Usaha Utama  : TELUR ASIN","Produk Utama : Telur Asin","Sapian RT/RW  2/3/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN BOYOLALI Provinsi JAWA TENGAH 

                                        Telp : 85725504330 Fax : -","Perorangan","1","Retail dan Distributor","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 2.400.000,00 Juta","Rp. 117,00 Juta","25 %/Tahun","Rp. 10,00 Juta","Rp. 203,00 Juta","4"
"1622317486-5086","https://www.bi.go.id/bisaid","Indo Tang","https://www.bi.go.id/bisaid/bisaid/Detail?pm=RTEySe3e4BByeFOuK/COlg==&mp=fOhzApotY5QnAtxxXvjAfA==","Indo Tang","Usaha Utama  : Tenun","Produk Utama : Sarung Samarinda","P Bendahara RT/RW  01/ 

                                        Kelurahan - Kecamatan - Kabupaten KOTA SAMARINDA Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   60,00 %","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   40,00 %","Sedang","Rp. 101.700.000,00 Juta","Rp. 38.500.000,00 Juta","10 %/Tahun","Rp. 5,00 Juta","Rp. 50,00 Juta","3"
"1622316030-4631","https://www.bi.go.id/bisaid","Jamu Tradisional Asep","https://www.bi.go.id/bisaid/bisaid/Detail?pm=gePS4dISLbJ1j4v9rGHvEg==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Jamu Tradisional Asep","Usaha Utama  : Pembuatan Jamu Gendong","Produk Utama : Jamu Gendong","- RT/RW  40577 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN SEMARANG Provinsi JAWA TENGAH 

                                        Telp : - Fax : -","Perorangan","3","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 121,00 Juta","Rp. 0,00 Juta","50 %/Tahun","Rp. 5,00 Juta","Rp. 100,00 Juta","7"
"1622314829-4259","https://www.bi.go.id/bisaid","HS Collection","https://www.bi.go.id/bisaid/bisaid/Detail?pm=HrjG7UTbkR/+PBufJJxUYQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==","HS Collection","Usaha Utama  : Pembuatan Dompet","Produk Utama : Dompet","Dorodasih 27A RT/RW  20/04 

                                        Kelurahan - Kecamatan - Kabupaten KOTA YOGYAKARTA Provinsi DI YOGYAKARTA 

                                        Telp : - Fax : -","Perorangan","2","Distributor","Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tinggi","Rp. 410,90 Juta","Rp. 153,60 Juta","10 %/Tahun","Rp. 3,00 Juta","Rp. 8,00 Juta","5"
"1622315952-4606","https://www.bi.go.id/bisaid","Didas Taylor","https://www.bi.go.id/bisaid/bisaid/Detail?pm=0u/QRSrCBdh7S+LutRfzuw==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Didas Taylor","Usaha Utama  : Pembuatan pakaian","Produk Utama : Seragam Perkantoran","Stasiun Wonokromo RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KOTA SURABAYA Provinsi JAWA TIMUR 

                                        Telp : - Fax : -","Perorangan","3","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   20,00 %","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   80,00 %","Rendah","Rp. 47,50 Juta","Rp. 102,00 Juta","10 %/Tahun","Rp. 5,04 Juta","Rp. 9,00 Juta","4"
"1622314589-4176","https://www.bi.go.id/bisaid","Usaha Bordiran","https://www.bi.go.id/bisaid/bisaid/Detail?pm=sXVWrlLa67UkTEXsSzVTEQ==&mp=xI6rAeQkygTAn3Z625IGLg==","Usaha Bordiran","Usaha Utama  : Usaha Bordir","Produk Utama : Bordir","Pnpm Beringin Sungai Paga Gadut RT/RW  / 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN AGAM Provinsi SUMATERA BARAT 

                                        Telp : - Fax : -","Perorangan","6","Distributor","Tidak Ada   0,00 %","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   100,00 %","Rendah","Rp. 550,00 Juta","Rp. 194,20 Juta","- %/Tahun","Rp. 10,00 Juta","Rp. 504,00 Juta","7"
"1622316542-4795","https://www.bi.go.id/bisaid","null","https://www.bi.go.id/bisaid/bisaid/Detail?pm=MKQcX8IS//kuk6Gx8B4AKQ==&mp=LhrIHvxx5uWPOvZTrS6CKw==","-","Usaha Utama  : Pembuatan Kerupuk","Produk Utama : Kerupuk","AMAL BAKTI DSN X NO.50 RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN DELI SERDANG Provinsi SUMATERA UTARA 

                                        Telp : - Fax : -","Perorangan","6","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Tinggi","Rp. 660,00 Juta","Rp. 260,00 Juta","10 %/Tahun","Rp. 10,00 Juta","Rp. 30,00 Juta","7"
"1622315097-4347","https://www.bi.go.id/bisaid","Batu Bata Jumbo I","https://www.bi.go.id/bisaid/bisaid/Detail?pm=wNGud2+zQJ6NgidXVGns9w==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","Batu Bata Jumbo I","Usaha Utama  : Batu Merah","Produk Utama : Batu Merah","Asoka RT/RW  10/4/2020 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN KONAWE SELATAN Provinsi SULAWESI TENGGARA 

                                        Telp : - Fax : -","Perorangan","2","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Rendah","Rp. 42,75 Juta","Rp. 81,00 Juta","20 %/Tahun","Rp. 10,00 Juta","Rp. 53,00 Juta","7"
"1622315585-4494","https://www.bi.go.id/bisaid","Etnik Handycraft","https://www.bi.go.id/bisaid/bisaid/Detail?pm=2Fz6yiT4T29hq3DKItljJg==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Etnik Handycraft","Usaha Utama  : Pembuatan Topeng","Produk Utama : Topeng","Raya Kasongan RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN BANTUL Provinsi DI YOGYAKARTA 

                                        Telp : - Fax : -","Perorangan","8","Distributor","Tidak Ada   0,00 %","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   100,00 %","Tinggi","Rp. 127,20 Juta","Rp. 420,00 Juta","20 %/Tahun","Rp. 0,00 Juta","Rp. 95,00 Juta","5"
"1622315322-4412","https://www.bi.go.id/bisaid","USAHA KAYU PROFILE SURIADI","https://www.bi.go.id/bisaid/bisaid/Detail?pm=dyyuZ7V6ds+oyEwDs4/WmA==&mp=p1ca+Y2BZCwOZVEqm2oXjA==","USAHA KAYU PROFILE SURIADI","Usaha Utama  : Kerajinan Kayu Profile","Produk Utama : Kerajinan Kayu Profile","Bangket Daye RT/RW  00/00 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN LOMBOK TIMUR Provinsi NUSA TENGGARA BARAT 

                                        Telp : - Fax : -","Perorangan","3","Distributor","Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tinggi","Rp. 385,00 Juta","Rp. 70,00 Juta","20 %/Tahun","Rp. 8,00 Juta","Rp. 35,00 Juta","4"
"1622314894-4280","https://www.bi.go.id/bisaid","Pakaryan Aneka Kerajinan Melati Putih","https://www.bi.go.id/bisaid/bisaid/Detail?pm=2v4Num59SEimISShSEVzDg==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Pakaryan Aneka Kerajinan Melati Putih","Usaha Utama  : Pembuatan Miniatur dan Aksesoris","Produk Utama : Miniatur dan Aksesoris","Kemasan 55 RT/RW  17/05 

                                        Kelurahan - Kecamatan - Kabupaten KOTA YOGYAKARTA Provinsi DI YOGYAKARTA 

                                        Telp : - Fax : -","Perorangan","11","Retail","Tidak Ada   0,00 %","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   100,00 %","Tinggi","Rp. 1.520,75 Juta","Rp. 80,00 Juta","50 %/Tahun","Rp. 10,00 Juta","Rp. 1.432,00 Juta","5"
"1622317329-5039","https://www.bi.go.id/bisaid","Sagon Garuda","https://www.bi.go.id/bisaid/bisaid/Detail?pm=Nz2JXVVgdtxDmoBVCYIrNA==&mp=2BbfzMJpZb2nANZ3GT30ng==","Sagon Garuda","Usaha Utama  : Sagon","Produk Utama : Sagon","Jl Gelatik No.36 RT/RW  40608 

                                        Kelurahan - Kecamatan - Kabupaten KABUPATEN KEBUMEN Provinsi JAWA TENGAH 

                                        Telp : - Fax : -","Perorangan","22","Retail","Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan)   100,00 %","Tidak Ada   0,00 %","Sedang","Rp. 60,00 Juta","Rp. 96,00 Juta","10 %/Tahun","Rp. 5,00 Juta","Rp. 28,00 Juta","4"
"1622317543-5105","https://www.bi.go.id/bisaid","Vivi Sarniah","https://www.bi.go.id/bisaid/bisaid/Detail?pm=wJGK4G2i1xqBjRq9jdRmtQ==&mp=fOhzApotY5QnAtxxXvjAfA==","Vivi Sarniah","Usaha Utama  : Manik","Produk Utama : Kalung","Hos Cokroaminoto RT/RW  26/ 

                                        Kelurahan - Kecamatan - Kabupaten KOTA SAMARINDA Provinsi KALIMANTAN TIMUR 

                                        Telp : - Fax : -","Perorangan","1","Retail","Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan)   70,00 %","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   30,00 %","Sedang","Rp. 8.500.000,00 Juta","Rp. 25.200.000,00 Juta","10 %/Tahun","Rp. 5,00 Juta","Rp. 7,00 Juta","3"
"1622315988-4617","https://www.bi.go.id/bisaid","Audia Tas","https://www.bi.go.id/bisaid/bisaid/Detail?pm=LAcDAW8lxM6JPy479xU8EA==&mp=LhrIHvxx5uWPOvZTrS6CKw==","Audia Tas","Usaha Utama  : Pembuatan tas","Produk Utama : Tas","Perkampungan Industri Kecil Blok B No156 RT/RW  - 

                                        Kelurahan - Kecamatan - Kabupaten KOTA JAKARTA TIMUR Provinsi DKI JAKARTA 

                                        Telp : - Fax : -","Perorangan","4","Distributor","Tidak Ada   0,00 %","Masyarakat Golongan Atas (penghasilan lebih dari Rp 10 juta/bulan)   100,00 %","Sedang","Rp. 380,00 Juta","Rp. 145,00 Juta","15 %/Tahun","Rp. 0,00 Juta","Rp. 344,00 Juta","7"
